model,parameter,true_value,q2.5,q50,q97.5
Separate Models,λ,-2.2,-2.229457067526294,-2.153557538379267,-2.076412598697432
Separate Models,λ,-2.088888888888889,-2.1531360203684526,-2.087682140094551,-2.0153523454740614
Separate Models,λ,-1.9777777777777779,-2.084368896908736,-2.0187219406842045,-1.9576776493379464
Separate Models,λ,-1.8666666666666667,-1.9267298074425823,-1.8695588831907872,-1.808690648668487
Separate Models,λ,-1.7555555555555555,-1.7508749925202154,-1.7043787745248715,-1.6545616247121733
Separate Models,λ,-1.6444444444444444,-1.650374341292978,-1.6042905073538456,-1.562461761765629
Separate Models,λ,-1.5333333333333334,-1.5448080761928853,-1.5014572910188098,-1.4626222579479864
Separate Models,λ,-1.4222222222222223,-1.4488174036231007,-1.417796433849339,-1.3765614421526484
Separate Models,λ,-1.3111111111111111,-1.3378132707069408,-1.3021180903595286,-1.2645259959786825
Separate Models,λ,-1.2,-1.2303435971774468,-1.1962565081910337,-1.164419043584307
Single Model with Varying Intercepts,α,-1.7,-1.960737731910593,-1.7137196151418668,-1.4957334140799499
Single Model with Varying Intercepts,σ_[group],0.3364055948997214,0.22944644368695055,0.35607641712939564,0.5804702362412273
