true_lambda,name,Separate Models,Fixed Predictors,Varying Intercepts
-2.4,Coverage,0.95,0.94,0.95
-2.2,Coverage,0.93,0.96,0.96
-2,Coverage,0.95,0.95,0.95
-1.8,Coverage,0.95,0.94,0.95
-1.6,Coverage,0.94,0.95,0.95
-1.4,Coverage,0.95,0.95,0.94
-1.2,Coverage,0.94,0.95,0.95
-2.4,Bias,-0.006 (0.08),0.001 (0.05),0.01 (0.08)
-2.2,Bias,-0.011 (0.07),-0.002 (0.04),0.004 (0.07)
-2,Bias,-0.006 (0.06),0 (0.03),0 (0.06)
-1.8,Bias,-0.004 (0.05),-0.001 (0.03),-0.004 (0.05)
-1.6,Bias,-0.004 (0.04),-0.002 (0.02),-0.003 (0.04)
-1.4,Bias,-0.003 (0.04),0 (0.02),-0.005 (0.04)
-1.2,Bias,-0.001 (0.03),0 (0.02),-0.004 (0.03)
